Mã học phần,Tên học phần,Số tín chỉ,LT,TH,Tự học,Học phần tiên quyết,Học phần học trước,Học phần song hành,Khoa quản lý,Mô tả vắn tắt các nội dung học phần,Khối kiến thức,Loại Học phần
CSE702046,Phân tích nghiệp vụ kinh doanh,2,2,0,4,,,,CSE,"Phân tích kinh doanh đề cập đến cách thức mà doanh nghiệp, tổ chức phi chính phủ, và các cơ quan chính phủ có thể sử dụng dữ liệu để hiểu sâu và đưa ra quyết định tốt hơn. Phân tích kinh doanh được áp dụng trong vận hành, tiếp thị, tài chính, và hoạch định chiến giữa các bộ phận chức năng khác. Học phần này sẽ cung cấp kiến thức cơ bản về việc phân tích hoạt động kinh doanh và các yếu tố ảnh hưởng đến hoạt động kinh doanh của doanh nghiệp. Học phần cũng giúp hình thành các kỹ năng cần thiết để xử lý các tình huống thực tế trong hoạt động kinh doanh, bao gồm phân tích, tổng hợp số liệu, giải quyết vấn đề.",Chuyên ngành,D2
CSE702044,Phân tích dữ liệu chuỗi thời gian,2,2,0,4,CSE702022,,,CSE,"Dữ liệu chuỗi thời gian là các số liệu được thu nhận dưới dạng chuỗi theo thời gian. Ví dụ dữ liệu về GDP, giá điện, dân số, nhiệt độ, giá cổ phiếu được ghi nhận theo thời gian. Phân tích chuỗi thời gian là việc sử dụng các kỹ thuật thống kê để phân tích làm rõ cấu trúc của chuỗi thời gian. Trên cơ sở đó chúng ta có thể thấy được bản chất, quy luật của các hiện tượng, sự việc thông qua các chỉ tiêu thống kê cụ thể. Học phần này được xây dựng nhằm giúp sinh viên hiểu và có thể ứng dụng các khái niệm và phương pháp phân tích chuỗi thời gian, phân tích yếu tố xu thế, yếu tố mùa vụ, và các biến động ngẫu nhiên, cùng với việc ứng dụng các thuật toán học máy và học sâu.",Chuyên ngành,D2
CSE703045,Phân tích dữ liệu đồ thị,3,3,0,6,CSE703020,,,CSE,"Học phần nhằm cung cấp cho sinh viên các nội dung kiến thức chính sau: các khái niệm và lý thuyết cơ bản về đồ thị, phương pháp biểu diễn đồ thị; các phương pháp truyền thống phân tích dữ liệu đồ thị, bao gồm một số thuật toán học máy điển hình cho đồ thị. Sinh viên có thể hiểu cơ bản và ứng dụng mạng nơ-ron trong việc phân tích dữ liệu trên đồ thị.",Chuyên ngành,D2
CSE703056,Tính toán lượng tử cho học máy,3,3,0,6,,,,CSE,"Học phần học máy ượng tử cung cấp cho sinh viên các kiến thức cơ bản về tính toán lượng tử và ứng dụng tính toán lượng tử trong việc huấn luyện dữ liệu. Kể từ 20 năm trước, các thuật toán lượng tử được phát triển với kỳ vọng sẽ giải quyết được các bài toán mà máy tính cổ điển không thể thực hiện được. Tính toán lượng tử có thể sẽ hữu ích trong việc tăng tốc độ huấn luyện dữ liệu. Các chủ đề trong học phần này gồm: Các tiên đề cơ học lượng tử, sự chồng chập lượng tử, vướng víu lượng tử, phép đo lượng tử, bit lượng tử (qubit), mô hình mạch lượng tử, thuật toán lượng tử tìm ma trận nghịch đảo, thuật toán tìm kiếm lượng tử Grover, thuật toán tối ưu hóa lượng tử, mạng neural lượng tử.",Chuyên ngành,D2
CSE702059,Trí tuệ nhân tạo trên thiết bị đầu cuối,2,2,0,4,,EEE703035,,CSE,"Xu hướng công nghệ mới sẽ hướng tới trí tuệ nhân tạo, ứng dụng trong hầu như các lĩnh vực từ cuộc sống, cho tới sản xuất, công nghiệp, nhằm mục tiêu mang đến sự tiện lợi, thông minh và hỗ trợ người dùng, doanh nghiệp một cách hiệu quả. Liên quan tới AI, các thiết bị đầu cuối IoT là các thiết bị trực tiếp hoạt động, cung cấp dữ liệu cũng như cách tính năng cho người dùng. Môn học này tập trung vào việc tìm hiểu, đặt vấn đề, phân tích các thuật toán, mô hình áp dụng AI cho các thiết bị IoT, cũng như các quá trình phân tích dữ liệu lớn, làm tốt hơn các giải thuật, tự học, thông minh hơn, và ngày càng hiểu người dùng hơn.",Chuyên ngành,D2
CSE702062,Ứng dụng AI trong nghệ thuật,2,1,1,4,,EEE703035,,CSE,"Khóa học này giới thiệu tới sinh viên ứng dụng của AI trong việc sinh ra các tác phẩm nghệ thuật. Sinh viên sẽ học cách sử dụng các thuật toán học sâu để tạo ra các sản phẩm nghệ thuật. Khóa học giới thiệu các kỹ thuật nâng cao trong học sâu như mạng GANs, ứng dụng của GANs trong việc tạo ảnh nghệ thuật. Thông qua việc thực hành, xây dựng các dự án ứng dụng mạng GANs, sinh viên có khả năng suy nghĩ sáng tạo hơn về các sản phẩm truyền thông mà sinh viên có thể tạo nên trong kỷ nguyên của trí tuệ nhân tạo.",Chuyên ngành,D2
CSE702127,Đồ án cơ sở cho Khoa học máy tính,2,0,2,0,CSE703020; CSE702022,,,CSE,,"Thực tập, Đồ án",E1
CSE703014,Đồ án liên ngành,3,0,3,6,,CSE702127,,CSE,"Học phần này giúp sinh viên thực hiện giải quyết các vấn đề nghiên cứu hoặc ứng dụng liên ngành. Môn học khuyến khích sinh viên đến từ các lĩnh vực khác nhau làm việc theo nhóm để củng cố kiến thức từ nhiều lĩnh vực khác nhau. Môn học cũng giúp sinh viên tăng cường kỹ năng giao tiếp và làm việc nhóm, lập kế hoạch, triển khai thực hiện, viết báo cáo và thuyết trình sản phẩm.","Thực tập, Đồ án",E1
CSE702053,Thực tập công nghiệp,2,0,2,4,,CSE702127,,CSE,"Để củng cố những kiến thức và kỹ năng được trang bị trong suốt quá trình học, học phần này giúp sinh viên làm quen với môi trường doanh nghiệp CNTT  các các doanh nghiệp trong các lĩnh vực khác có nhu cầu ứng dụng CNTT, chuyển đối số… Học phần yêu cầu sinh viên tiến hành quan sát, rèn luyện, thực hành những dự án đơn giản dưới sự hướng dẫn của các kỹ sư đến từ doanh nghiệp trong suốt quá trình thực tập để nâng cao các kỹ năng chuyên ngành của  sinh viên; đào tạo cho sinh viên nhận thức về công việc trong tương lai, từ đó định hướng kỹ năng tìm việc làm.","Thực tập, Đồ án",E1
CSE704067,Thực tập tốt nghiệp,4,0,4,8,CSE702127,CSE702053,,CSE,"Trên cơ sở những kiến thức và kỹ năng được trang bị trong suốt quá trình học, học phần này giúp sinh viên tiến tới hoàn thiện  kỹ năng cần thiết trước khi ra trường  việc xác định được định hướng và chủ đề của đồ án tốt nghiệp. Việc thực tập có thể thực hiện tại một doanh nghiệp hoặc với các giảng viên tại  phòng thí nghiệm nghiên cứu của Khoa hoặc các PTN nghiên cứu khác trong trường;  Ngoài việc củng cố kiến thức chuyên ngành thông qua việc tiếp cận thực tiễn; Sinh viên cũng có thể thấy và học được cách áp dụng các kiến thức lý thuyết được học vào việc giải quyết một vấn đề trong sản xuất thực tế, tiến tới lựa chọn đề tài của đồ án tốt nghiệp.","Thực tập, Đồ án",E1
CSE710112,Đồ án tốt nghiệp,10,0,10,20,CSE703008; CSE703014,,,CSE,"Trên cơ sở những kiến thức và kỹ năng đã học, sinh viên thực hiện đồ án tốt nghiệp với mục đích phát triển, triển khai ứng dụng, hệ thống hoặc giải pháp cụ thể trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo. Đồ án tốt nghiệp yêu cầu sinh viên thể hiện được năng lực và tư duy hệ thống trong khảo sát nhu cầu, phân tích/thiết kế hệ thống, phát triển/tích hợp hệ thống, thử nghiệm triển khai ứng dụng có ứng dụng khoa học dữ liệu và trí tuệ nhân tạo.","Thực tập, Đồ án",E1
